PlanName,fye,InvestmentReturn_1yr,Date,acwi_exUS,russell3000_IWV,vanguardBond_VBTIX,b1_acwi_exUS,b2_russell3000_IWV,b3_vanguardBond_VBTIX,portfolio_return,sst,sse,r_squared,geomean_actual,geomean_portfolio,sd_actual,sd_portfolio
Fairfax County Schools,2013-06-30,0.112,2013-06-01,0.10480314041123573,0.22359722261558512,-0.007814072519193749,0.23153607570452353,0.4362518387324803,0.3322120855629962,0.11921447802551058,0.02624888888888889,3.1203232707534994e-4,0.9881125510342104,0.06453480070975681,0.06455486278561096,0.05728098385250651,0.05768944222242706
Fairfax County Schools,2014-06-30,0.162,2014-06-01,0.18688917798194993,0.24275323118057468,0.042757752385039094,0.23153607570452353,0.4362518387324803,0.3322120855629962,0.16337777241618154,0.02624888888888889,3.1203232707534994e-4,0.9881125510342104,0.06453480070975681,0.06455486278561096,0.05728098385250651,0.05768944222242706
Fairfax County Schools,2015-06-30,0.02,2015-06-01,-0.07559487722254776,0.07093642214853468,0.017720562583371402,0.23153607570452353,0.4362518387324803,0.3322120855629962,0.019330188433099124,0.02624888888888889,3.1203232707534994e-4,0.9881125510342104,0.06453480070975681,0.06455486278561096,0.05728098385250651,0.05768944222242706
Fairfax County Schools,2016-06-30,-0.003,2016-06-01,-0.12680033051604223,0.020886637254216245,0.06148755736640399,0.23153607570452353,0.4362518387324803,0.3322120855629962,1.7989265023664325e-4,0.02624888888888889,3.1203232707534994e-4,0.9881125510342104,0.06453480070975681,0.06455486278561096,0.05728098385250651,0.05768944222242706
Fairfax County Schools,2017-06-30,0.123,2017-06-01,0.1747050835950099,0.18256434735278093,-0.004519121695114037,0.23153607570452353,0.4362518387324803,0.3322120855629962,0.11859325483761841,0.02624888888888889,3.1203232707534994e-4,0.9881125510342104,0.06453480070975681,0.06455486278561096,0.05728098385250651,0.05768944222242706
Fairfax County Schools,2018-06-30,0.081,2018-06-01,0.045833017256015296,0.14594332226152473,-0.005193024446699446,0.23153607570452353,0.4362518387324803,0.3322120855629962,0.07255485415865494,0.02624888888888889,3.1203232707534994e-4,0.9881125510342104,0.06453480070975681,0.06455486278561096,0.05728098385250651,0.05768944222242706
Fairfax County Schools,2019-06-30,0.047,2019-06-01,-0.015225252919497612,0.0808568470054396,0.0786193910127988,0.23153607570452353,0.4362518387324803,0.3322120855629962,0.05786706472169912,0.02624888888888889,3.1203232707534994e-4,0.9881125510342104,0.06453480070975681,0.06455486278561096,0.05728098385250651,0.05768944222242706
Fairfax County Schools,2020-06-30,0.047,2020-06-01,-0.0705374398041464,0.06547660603786332,0.09043226296549012,0.23153607570452353,0.4362518387324803,0.3322120855629962,0.04227501845743076,0.02624888888888889,3.1203232707534994e-4,0.9881125510342104,0.06453480070975681,0.06455486278561096,0.05728098385250651,0.05768944222242706
St. Louis School Employees,2011-12-31,-0.001,2011-12-01,-0.16133747973314194,0.006751947768719457,0.07751364051300857,0.23667559048600098,0.37911993940981925,0.3842044701041797,-0.005843758075243066,0.054339555555555565,0.0013870514411063216,0.9744743690498493,0.07093981131275862,0.06763573338964601,0.08241628749491477,0.08639986340379992
St. Louis School Employees,2012-12-31,0.124,2012-12-01,0.13349421155335017,0.16307837274871861,0.04207660977689476,0.23667559048600098,0.37911993940981925,0.3842044701041797,0.1095871057045106,0.054339555555555565,0.0013870514411063216,0.9744743690498493,0.07093981131275862,0.06763573338964601,0.08241628749491477,0.08639986340379992
St. Louis School Employees,2013-12-31,0.158,2013-12-01,0.12265334164150254,0.3329158040373037,-0.017273616206826548,0.23667559048600098,0.37911993940981925,0.3842044701041797,0.14860747095175092,0.054339555555555565,0.0013870514411063216,0.9744743690498493,0.07093981131275862,0.06763573338964601,0.08241628749491477,0.08639986340379992
St. Louis School Employees,2014-12-31,0.045,2014-12-01,-0.06291827810846673,0.12401829107624796,0.057382268893016564,0.23667559048600098,0.37911993940981925,0.3842044701041797,0.054173110588269645,0.054339555555555565,0.0013870514411063216,0.9744743690498493,0.07093981131275862,0.06763573338964601,0.08241628749491477,0.08639986340379992
St. Louis School Employees,2015-12-31,-0.005,2015-12-01,-0.07985070943393358,0.0016358500671993514,0.006051460065082059,0.23667559048600098,0.37911993940981925,0.3842044701041797,-0.015953532419980695,0.054339555555555565,0.0013870514411063216,0.9744743690498493,0.07093981131275862,0.06763573338964601,0.08241628749491477,0.08639986340379992
St. Louis School Employees,2016-12-31,0.063,2016-12-01,0.016678495386799108,0.12784797760003364,0.026455394613610128,0.23667559048600098,0.37911993940981925,0.3842044701041797,0.06258139113440045,0.054339555555555565,0.0013870514411063216,0.9744743690498493,0.07093981131275862,0.06763573338964601,0.08241628749491477,0.08639986340379992
