"","PlanName","PlanFullName","fy","fye","ActLiabilities_GASB","InvestmentReturn_1yr","month","SWTSX","VBMFX"
"72","Arkansas PERS","Arkansas Public Employees Retirement System",2012,2012-06-30,8163000,-0.0033,6,0.014392838146547,0.0748260094810163
"73","Arkansas PERS","Arkansas Public Employees Retirement System",2013,2013-06-30,8284000,0.1558,6,0.245178160311918,-0.00943616662490865
"74","Arkansas PERS","Arkansas Public Employees Retirement System",2014,2014-06-30,8864000,0.1968,6,0.248978063745716,0.0417492025530282
"75","Arkansas PERS","Arkansas Public Employees Retirement System",2015,2015-06-30,9295000,0.0245,6,0.0706342673998919,0.0160516518673341
"76","Arkansas PERS","Arkansas Public Employees Retirement System",2016,2016-06-30,9663000,0.003,6,0.0211200121972932,0.0602387534261064
"77","Arkansas PERS","Arkansas Public Employees Retirement System",2017,2017-06-30,10510000,0.123,6,0.184761432559152,-0.00538913367223248
"78","Arkansas PERS","Arkansas Public Employees Retirement System",2018,2018-06-30,10694000,0.1023,6,0.147441951647899,-0.00605852848917976
"79","Arkansas PERS","Arkansas Public Employees Retirement System",2019,2019-06-30,11129000,0.0578,6,0.0880615826296487,0.0775737145313218
"80","Arkansas PERS","Arkansas Public Employees Retirement System",2020,2020-06-30,11513000,0.0241,6,0.0637169903048058,0.0887383690228434
"81","California PERF","California Public Employees Retirement Fund",2001,2001-06-30,149155008,-0.072,6,-0.149767821563439,0.115936438529123
"82","California PERF","California Public Employees Retirement Fund",2002,2002-06-30,163960992,-0.061,6,-0.161377139013264,0.0724952668482628
"83","California PERF","California Public Employees Retirement Fund",2003,2003-06-30,180922000,0.037,6,0.00840718542076413,0.0941399802042868
"84","California PERF","California Public Employees Retirement Fund",2004,2004-06-30,194608992,0.166,6,0.210044930298992,0.00151733718578506
"85","California PERF","California Public Employees Retirement Fund",2005,2005-06-30,210300992,0.123,6,0.0834510139020883,0.0671837487935085
"86","California PERF","California Public Employees Retirement Fund",2006,2006-06-30,228131008,0.118,6,0.0958632827134356,-0.0100679632709131
"87","California PERF","California Public Employees Retirement Fund",2007,2007-06-30,248224000,0.191,6,0.201725333759148,0.0610487833110509
"88","California PERF","California Public Employees Retirement Fund",2008,2008-06-30,268324000,-0.051,6,-0.126672555083808,0.0727365157150885
"89","California PERF","California Public Employees Retirement Fund",2009,2009-06-30,294041984,-0.24,6,-0.257008191237972,0.0615446676819595
"90","California PERF","California Public Employees Retirement Fund",2010,2010-06-30,308343008,0.133,6,0.159958702200008,0.0916510153908179
"91","California PERF","California Public Employees Retirement Fund",2011,2011-06-30,328567008,0.217,6,0.323305052657771,0.0356363530145376
"92","California PERF","California Public Employees Retirement Fund",2012,2012-06-30,340428992,0.001,6,0.014392838146547,0.0748260094810163
"93","California PERF","California Public Employees Retirement Fund",2013,2013-06-30,375019008,0.132,6,0.245178160311918,-0.00943616662490865
"94","California PERF","California Public Employees Retirement Fund",2014,2014-06-30,394726016,0.184,6,0.248978063745716,0.0417492025530282
"95","California PERF","California Public Employees Retirement Fund",2015,2015-06-30,413700000,0.024,6,0.0706342673998919,0.0160516518673341
"96","California PERF","California Public Employees Retirement Fund",2016,2016-06-30,436703008,0.006,6,0.0211200121972932,0.0602387534261064
"97","California PERF","California Public Employees Retirement Fund",2017,2017-06-30,465046016,0.112,6,0.184761432559152,-0.00538913367223248
"98","California PERF","California Public Employees Retirement Fund",2018,2018-06-30,504996000,0.086,6,0.147441951647899,-0.00605852848917976
