Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,75.519997,79.089996,74.529999,77.940002,65.531471,9639400
2012-02-01,78.540001,82.059998,78.449997,81.190002,68.264046,5003700
2012-03-01,81.500000,84.110001,79.529999,83.279999,70.021294,5196000
2012-04-01,83.239998,84.220001,80.220001,82.820000,69.913437,3551600
2012-05-01,82.769997,83.860001,76.449997,77.790001,65.667297,5448200
2012-06-01,76.449997,80.699997,74.949997,80.389999,67.862122,5964000
2012-07-01,80.610001,81.949997,78.250000,81.099998,68.771759,7467100
2012-08-01,81.480003,84.279999,79.639999,83.080002,70.450768,5358400
2012-09-01,83.050003,87.480003,82.589996,84.849998,71.951714,10766000
2012-10-01,85.360001,86.769997,82.860001,83.430000,71.058846,5504400
2012-11-01,83.610001,84.900002,79.529999,84.029999,71.569893,7974000
2012-12-01,84.449997,86.180000,82.870003,84.680000,72.123482,11193400
2013-01-01,86.190002,89.779999,86.010002,89.220001,76.513649,8359800
2013-02-01,89.680000,91.349998,88.500000,90.190002,77.345512,5907600
2013-03-01,89.970001,93.519997,89.529999,93.459999,80.149811,6048700
2013-04-01,93.360001,94.940002,91.139999,94.879997,81.726608,5843600
2013-05-01,94.709999,100.419998,93.879997,97.199997,83.724991,4456300
2013-06-01,97.330002,98.610001,92.930000,96.400002,83.035904,6035800
2013-07-01,96.419998,101.459999,95.529999,100.779999,86.808685,5465700
2013-08-01,101.419998,102.230003,97.529999,97.790001,84.621216,5324100
2013-09-01,98.739998,103.949997,97.809998,101.139999,87.520103,3762600
2013-10-01,101.250000,106.500000,98.849998,105.419998,91.590630,5715100
2013-11-01,105.430000,108.820000,104.500000,108.150002,93.962502,4170200
2013-12-01,108.430000,110.760002,106.239998,110.650002,96.134529,5855300
2014-01-01,110.300003,111.139999,106.309998,107.110001,93.503647,6305500
2014-02-01,107.099998,112.790001,104.300003,112.169998,97.920860,4210800
2014-03-01,111.320000,113.930000,110.360001,112.309998,98.043091,3860100
2014-04-01,112.769997,114.010002,108.480003,112.519997,98.618080,3620800
2014-05-01,112.430000,114.949997,110.959999,114.910004,100.712807,3232900
2014-06-01,115.150002,118.099998,114.470001,117.739998,103.193138,3130300
2014-07-01,118.010002,118.980003,114.879997,114.879997,100.686485,3298400
2014-08-01,114.639999,119.769997,113.589996,119.769997,105.425690,4744000
2014-09-01,119.919998,120.540001,116.419998,116.790001,102.802597,3046200
2014-10-01,116.629997,120.230003,107.970001,119.949997,105.989319,7210800
2014-11-01,120.050003,123.400002,118.959999,122.919998,108.613640,4473400
2014-12-01,122.470001,124.269997,117.449997,122.290001,108.056969,10476100
2015-01-01,122.970001,123.129997,118.099998,118.959999,105.609886,10083500
2015-02-01,119.389999,126.580002,117.940002,125.680000,111.575760,3577700
2015-03-01,125.589996,126.970001,122.250000,123.849998,109.951134,5085300
2015-04-01,123.980003,127.260002,122.750000,124.470001,110.950073,5000100
2015-05-01,124.830002,127.709999,123.500000,126.190002,112.483269,2593000
2015-06-01,126.599998,127.970001,123.580002,123.980003,110.513290,3992700
2015-07-01,125.070000,127.080002,122.160004,125.550003,111.912773,4164000
2015-08-01,125.599998,126.029999,100.000000,117.860001,105.594101,5623800
2015-09-01,116.699997,121.080002,111.209999,113.889999,102.037262,7716700
2015-10-01,113.989998,123.779999,112.410004,122.980003,110.635757,5841400
2015-11-01,123.080002,125.309998,119.730003,123.690002,111.274483,3826200
2015-12-01,124.220001,125.000000,117.959999,120.309998,108.233734,10437700
2016-01-01,118.290001,118.949997,105.849998,113.430000,102.695328,12210200
2016-02-01,112.820000,115.010002,105.620003,113.430000,102.695328,8149900
2016-03-01,114.290001,121.480003,114.099998,120.860001,109.422180,6312100
2016-04-01,120.209999,124.099998,119.269997,121.139999,110.201607,3662400
2016-05-01,121.970001,124.070000,119.099998,123.720001,112.548622,3555100
2016-06-01,123.269997,125.489998,117.470001,124.019997,112.821541,4029100
2016-07-01,123.769997,128.449997,121.889999,128.210007,116.633186,4758100
2016-08-01,128.240005,129.750000,126.580002,128.440002,117.457809,2811800
2016-09-01,128.460007,129.720001,125.489998,128.190002,117.229187,2567800
2016-10-01,127.900002,128.330002,124.930000,125.410004,115.122192,5500900
2016-11-01,125.620003,132.000000,122.910004,131.149994,120.391304,5160300
2016-12-01,131.309998,135.759995,130.309998,132.979996,122.071198,10593400
2017-01-01,133.880005,136.770004,133.220001,135.380005,124.899139,5808700
2017-02-01,135.860001,141.050003,134.990005,140.389999,129.521271,3699800
2017-03-01,141.550003,142.610001,137.100006,139.899994,129.069183,6967900
2017-04-01,139.919998,142.330002,137.789993,141.339996,130.936020,3112700
2017-05-01,141.690002,143.229996,139.270004,142.740005,132.232941,3869800
2017-06-01,143.089996,145.619995,142.919998,144.020004,133.418732,2740300
2017-07-01,144.649994,147.059998,142.429993,146.119995,135.364151,3564200
2017-08-01,146.509995,147.190002,142.710007,146.289993,136.125137,3017800
2017-09-01,146.570007,149.330002,144.889999,149.279999,138.907410,2608000
2017-10-01,149.500000,152.910004,149.360001,152.509995,142.503784,4194500
2017-11-01,152.910004,157.740005,151.160004,157.059998,146.755280,4742400
2017-12-01,157.110001,159.869995,154.479996,158.169998,147.792419,7338900
2018-01-01,158.710007,169.199997,158.500000,166.360001,156.097366,7855400
2018-02-01,165.809998,167.050003,149.679993,160.199997,150.317352,9038800
2018-03-01,160.240005,166.000000,153.210007,156.339996,146.695480,6426100
2018-04-01,155.820007,161.000000,151.199997,156.839996,147.755997,4249500
2018-05-01,156.500000,163.139999,153.960007,161.240005,151.901184,6145000
2018-06-01,162.250000,166.520004,160.679993,162.289993,152.890305,13077600
2018-07-01,161.339996,168.880005,161.190002,167.029999,157.355804,10977800
2018-08-01,167.139999,173.529999,165.949997,172.779999,163.411102,3483400
2018-09-01,172.509995,174.729996,170.630005,172.300003,162.957123,3199600
2018-10-01,173.250000,173.479996,153.270004,159.589996,151.605743,8719900
2018-11-01,160.139999,165.889999,154.990005,162.619995,154.484161,7831400
2018-12-01,165.160004,165.460007,137.449997,146.919998,139.569626,27241700
2019-01-01,144.690002,159.580002,143.309998,159.389999,152.257584,15555700
2019-02-01,159.529999,166.660004,158.479996,164.979996,157.597473,6569200
2019-03-01,166.059998,168.449997,160.979996,166.699997,159.240479,9577700
2019-04-01,167.919998,173.649994,167.809998,173.240005,166.096252,4762100
2019-05-01,173.789993,173.789993,161.949997,162.139999,155.453979,4867900
2019-06-01,162.229996,173.580002,160.869995,172.360001,165.252533,4206500
2019-07-01,174.389999,177.699997,173.100006,175.100006,168.794754,3315200
2019-08-01,175.139999,176.949997,165.490005,171.399994,165.227982,6604700
2019-09-01,170.300003,177.460007,169.539993,173.770004,167.512680,3784000
2019-10-01,174.270004,178.279999,166.770004,177.500000,171.858551,6285800
2019-11-01,178.360001,184.960007,178.360001,184.229996,178.374664,4629800
2019-12-01,184.410004,189.639999,180.050003,188.490005,182.499283,5409700
2020-01-01,189.490005,194.889999,187.630005,188.270004,183.158859,5612000
2020-02-01,189.000000,198.550003,167.210007,172.699997,168.011536,7615300
2020-03-01,174.399994,183.190002,126.000000,148.330002,144.303131,20809500
2020-04-01,142.770004,170.789993,140.089996,167.690002,163.976639,10380800
2020-05-01,164.669998,178.429993,159.169998,176.630005,172.718674,6959200
2020-06-01,176.429993,188.809998,171.889999,180.059998,176.072708,7563500
2020-07-01,180.529999,191.259995,180.220001,190.449997,186.865051,4911200
2020-08-01,191.449997,205.100006,191.259995,204.020004,200.179611,3607600
2020-09-01,204.839996,209.100006,186.619995,195.710007,192.026047,5194200
2020-10-01,197.360001,207.830002,189.919998,191.940002,189.074203,4318800
2020-11-01,194.009995,216.460007,192.300003,214.940002,211.730804,3819900
2020-12-01,217.279999,224.050003,216.000000,223.550003,220.212250,3839000
2021-01-01,224.470001,232.259995,218.360001,222.509995,220.020218,5460600
2021-02-01,224.770004,238.880005,223.440002,229.509995,226.941879,2531100
2021-03-01,232.990005,240.080002,223.179993,237.229996,234.575516,3662000
2021-04-01,238.800003,252.070007,238.710007,249.740005,247.681778,2551600
2021-05-01,251.089996,251.820007,240.699997,250.509995,248.445435,2804100
2021-06-01,252.169998,256.579987,248.089996,255.910004,253.800934,2691000
2021-07-01,256.440002,262.640015,250.350006,260.279999,258.685150,1956300
2021-08-01,261.769989,268.679993,257.640015,267.649994,266.009979,1680000
2021-09-01,268.470001,269.410004,254.850006,254.850006,253.288422,2237800
2021-10-01,255.889999,272.299988,253.270004,271.959991,271.156982,2331400
2021-11-01,273.010010,279.450012,267.600006,268.250000,267.457947,2504200
2021-12-01,271.140015,280.140015,262.950012,277.500000,276.680634,4924700
2022-01-01,278.399994,280.440002,265.809998,274.359985,274.359985,1831400
